date,time,ticker,exp,strike,cp,entry,proceeds,ratio,blended_ret_pct,nsells,dte,roll_depth,category,tags
2024-12-11,14:50,NVDA,01-10,140,C,5.5,3.3,0.6,-40,2,30,0,initial,
2024-12-11,15:05,META,12-13,640,C,5.1,0,0,-100,0,2,2,roll2,ROLL
2024-12-11,15:06,MSTR,12-13,420,C,7.65,8.15,1.065,6.5,2,2,0,lotto,LOTTO
2024-12-11,16:12,TSLA,12-13,422.5,C,4.9,8.05,1.643,64.3,2,2,0,initial,
2024-12-11,20:09,TSLA,12-13,430,C,4.65,5.3,1.14,14,2,2,1,roll1,ROLL
2024-12-12,14:44,QQQ,12-13,528,C,1.92,3.12,1.625,62.5,1,1,0,initial,
2024-12-12,15:04,MSFT,12-13,455,C,1.85,2.3,1.243,24.3,2,1,2,roll2,ROLL
2024-12-12,15:56,TSLA,12-13,440,C,3.45,0,0,-100,0,1,2,roll2,ROLL
2024-12-13,14:44,QQQ,12-13,533,C,0.97,0,0,-100,0,0,0,lotto,LOTTO
2024-12-13,14:44,AVGO,,220,C,2.88,3.25,1.128,12.8,2,,0,lotto,LOTTO
2024-12-13,15:12,TSLA,12-13,430,C,2.5,2.3,0.92,-8,1,0,3,lotto,LOTTO
2024-12-13,17:54,TSLA,12-13,430,C,2.15,3.88,1.802,80.2,2,0,4,lotto,LOTTO
2024-12-13,18:52,TSLA,12-13,432.5,C,2.75,3.45,1.255,25.5,1,0,5,roll3+,ROLL
2024-12-16,14:33,AVGO,12-13,240,C,5,0,0,-100,0,362,0,initial,
2024-12-16,14:33,AVGO,12-20,240,C,5,8.08,1.615,61.5,3,4,0,initial,
2024-12-16,14:35,TSLA,12-20,460,C,7.7,17.15,2.227,122.7,2,4,0,initial,
2024-12-16,14:47,AVGO,12-20,250,C,4.1,7.03,1.713,71.3,2,4,1,roll1,ROLL
2024-12-16,16:08,TSLA,12-20,470,C,8.25,15.88,1.924,92.4,2,4,1,roll1,ROLL
2024-12-16,17:42,QQQ,12-20,540,C,2.91,0,0,-100,0,4,0,initial,
2024-12-16,19:19,AVGO,12-20,260,C,4.2,0,0,-100,0,4,2,roll2,
2024-12-17,14:53,TSLA,12-20,500,C,7.9,0,0,-100,0,3,2,roll2,ROLL
2024-12-17,15:52,NVDA,12-20,130,C,2.14,3.97,1.857,85.7,2,3,1,lotto,LOTTO
2024-12-18,14:30,NVDA,12-20,135,C,1.84,2.42,1.318,31.8,2,2,2,roll2,
2024-12-18,14:42,NVDA,12-27,138,C,2.93,3.1,1.058,5.8,1,9,3,roll3+,
2024-12-18,15:46,SOX,12-19,6100,C,7.9,0,0,-100,0,1,0,lotto,LOTTO;CAT
2024-12-19,15:29,TSLA,12-20,430,P,6.1,7.67,1.257,25.7,2,1,3,put_breakdown,LOTTO
2024-12-19,16:23,SPX,12-20,5930,C,7.5,4.9,0.653,-34.7,1,1,0,lotto,LOTTO
2024-12-20,14:44,AVGO,12-20,225,C,225,2.45,0.011,-98.9,2,0,3,lotto,LOTTO
2024-12-20,15:05,NVDA,12-27,131,C,0.8,1.39,1.731,73.1,2,7,4,lotto,LOTTO
2024-12-20,15:12,TSLA,12-20,435,C,3.95,7.1,1.797,79.7,2,0,4,lotto,LOTTO
2024-12-20,15:26,NVDA,12-20,132,C,0.8,0.68,0.844,-15.6,1,0,5,roll3+,ROLL
2024-12-20,15:35,TSLA,12-20,445,C,2.75,3.49,1.269,26.9,2,0,5,roll3+,ROLL
2024-12-20,16:02,SPX,12-20,5950,C,5.2,18,3.462,246.2,3,0,1,lotto,LOTTO;0DTE
2024-12-20,17:54,TSLA,12-20,450,C,1.5,1.1,0.733,-26.7,1,0,6,roll3+,ROLL
2024-12-23,14:36,NVDA,01-03,140,C,2.88,6.2,2.153,115.3,2,11,6,roll3+,
2024-12-23,16:41,QQQ,12-26,521,C,2.97,3.53,1.187,18.7,2,3,0,lotto,LOTTO
2024-12-24,14:33,TSLA,,450,C,5.8,9,1.552,55.2,3,,0,lotto,LOTTO
2024-12-24,14:51,TSLA,12-27,460,C,5.4,10.2,1.889,88.9,1,3,1,roll1,ROLL
2024-12-24,15:15,SPX,12-24,6015,C,3,5.37,1.789,78.9,2,0,0,lotto,LOTTO;0DTE
2024-12-24,15:44,SPX,12-24,6025,C,2.8,4.37,1.56,56,2,0,1,roll1,ROLL
2024-12-26,14:32,SPX,12-26,6040,C,5.5,9.05,1.645,64.5,3,0,0,lotto,LOTTO;0DTE
2024-12-26,16:57,AVGO,12-27,250,C,1.62,0,0,-100,0,1,0,initial,
2024-12-27,14:59,TSLA,12-27,445,C,2.42,0,0,-100,0,0,0,lotto,LOTTO
2024-12-30,14:50,NVDA,01-17,140,C,4.4,5.6,1.273,27.3,1,18,7,lotto,LOTTO
2024-12-30,16:30,SPX,12-30,5920,C,7.1,12.05,1.697,69.7,3,0,0,lotto,LOTTO;0DTE
2024-12-30,17:01,SPX,12-30,5940,C,5.3,7.55,1.425,42.5,3,0,1,roll1,ROLL
2024-12-30,18:11,SPX,12-30,5950,C,5.1,0,0,-100,0,0,1,roll1,ROLL
2024-12-31,15:27,SPX,12-31,5960,C,5.9,0,0,-100,0,0,0,lotto,LOTTO;0DTE
2025-01-02,15:04,META,,605,C,3.65,4.4,1.205,20.5,1,,0,initial,
2025-01-02,15:06,QQQ,01-03,517,C,2.64,0,0,-100,0,1,0,initial,
2025-01-03,14:38,NVDA,01-10,143,C,2.98,4.4,1.477,47.7,2,7,8,roll3+,
2025-01-03,14:39,TSLA,,390,C,3,3.2,1.067,6.7,2,,0,lotto,LOTTO
2025-01-03,14:42,META,01-03,610,C,2.45,0,0,-100,0,0,1,roll1,ROLL
2025-01-03,15:04,SPX,01-03,5930,C,6.8,11.15,1.64,64,2,0,0,lotto,LOTTO
2025-01-03,16:18,TSLA,,392.5,C,2.05,3.83,1.866,86.6,3,,1,roll1,ROLL
2025-01-03,16:28,TSLA,,397.5,C,2.08,3.15,1.514,51.4,2,,2,roll2,ROLL
2025-01-03,16:53,SPX,01-03,5945,C,4.9,4.67,0.952,-4.8,1,0,1,roll1,ROLL
2025-01-03,18:38,NVDA,01-24,150,C,3.75,4.65,1.24,24,2,21,9,roll3+,
2025-01-06,14:32,NVDA,01-10,150,C,2.65,7.3,2.755,175.5,1,4,10,roll3+,
2025-01-06,14:48,COIN,01-10,290,C,4.5,8,1.778,77.8,3,4,0,lotto,LOTTO
2025-01-06,15:04,COIN,01-10,300,C,4.5,0,0,-100,0,4,1,roll1,ROLL
2025-01-06,15:28,NVDA,01-17,155,C,3.55,4.4,1.239,23.9,1,11,11,roll3+,ROLL
2025-01-06,15:41,META,01-10,620,C,5.25,9.28,1.767,76.7,3,4,0,initial,
2025-01-06,16:16,META,01-10,630,C,4.95,3.6,0.727,-27.3,1,4,1,roll1,ROLL
2025-01-07,15:42,SPX,01-07,5900,P,5.2,5.9,1.135,13.5,2,0,0,put_breakdown,LOTTO
2025-01-08,15:03,NVDA,01-10,145,C,1.69,0,0,-100,0,2,0,lotto,LOTTO
2025-01-08,16:42,SPX,,5935,C,6.3,0,0,-100,0,,0,lotto,LOTTO;0DTE
2025-01-10,15:24,QQQ,01-10,507,C,1.75,2.93,1.674,67.4,2,0,0,lotto,LOTTO
2025-01-10,17:40,TSLA,01-10,395,C,2.1,3.4,1.619,61.9,3,0,0,lotto,LOTTO
2025-01-10,18:08,META,01-10,625,C,2.82,4.6,1.631,63.1,2,0,2,lotto,LOTTO
2025-01-10,18:27,TSLA,01-10,400,C,1.45,0,0,-100,0,0,1,roll1,ROLL
2025-01-10,18:39,META,01-10,630,C,1.95,0,0,-100,0,0,3,roll3+,ROLL
2025-01-13,14:56,QQQ,01-15,505,C,3.68,6.3,1.712,71.2,1,2,0,lotto,LOTTO;CAT
2025-01-13,17:24,TSLA,01-17,410,C,5.65,10.95,1.938,93.8,2,4,0,initial,
2025-01-14,14:32,TSLA,01-17,425,C,7.7,9.5,1.234,23.4,2,3,1,roll1,ROLL
2025-01-14,14:36,QQQ,01-17,512,C,3.99,4.8,1.203,20.3,1,3,0,initial,
2025-01-15,14:47,QQQ,01-17,517,C,2.6,3.87,1.488,48.8,2,2,0,initial,
2025-01-15,14:52,META,,620,C,4.55,5.58,1.225,22.5,2,,0,initial,
2025-01-15,17:21,COIN,01-17,280,C,4.2,4.38,1.042,4.2,2,2,0,lotto,LOTTO
2025-01-15,18:13,META,01-17,625,C,4.5,0,0,-100,0,2,1,roll1,ROLL
2025-01-15,20:23,TSLA,01-17,440,C,4.1,0,0,-100,0,2,2,roll2,ROLL
2025-01-16,14:40,QQQ,01-17,520,C,2.15,3.5,1.628,62.8,1,1,1,roll1,ROLL
2025-01-16,16:09,SPX,01-16,5980,C,4.7,0,0,-100,0,0,0,lotto,LOTTO;0DTE
2025-01-16,16:27,COIN,01-17,285,C,4,8,2,100,1,1,1,roll1,ROLL
2025-01-17,14:33,COIN,01-17,300,C,2.28,2.85,1.25,25,2,0,2,lotto,LOTTO
2025-01-17,14:35,TSLA,01-17,427.5,C,3.7,6.05,1.635,63.5,3,0,3,lotto,LOTTO
2025-01-17,14:45,QQQ,01-17,520,C,1.88,2.35,1.247,24.7,2,0,0,initial,
2025-01-17,15:12,COIN,01-17,302.5,C,2.52,0,0,-100,0,0,3,roll3+,ROLL
2025-01-17,15:17,TSLA,01-17,435,C,2.75,4.1,1.491,49.1,2,0,4,roll3+,ROLL
2025-01-17,18:11,TSLA,01-17,440,C,1.84,0,0,-100,0,0,5,roll3+,ROLL
2025-01-21,14:32,AMZN,01-31,232.5,C,3.75,2.65,0.707,-29.3,1,10,0,initial,
2025-01-21,16:10,COIN,01-24,300,C,5.8,7.97,1.375,37.5,2,3,0,lotto,LOTTO
2025-01-21,18:00,NVDA,01-31,143,C,2.89,4.9,1.696,69.6,2,10,0,initial,
2025-01-21,18:22,COIN,01-24,310,C,5.65,0,0,-100,0,3,1,roll1,ROLL
2025-01-22,14:31,NVDA,01-31,147,C,3.1,0,0,-100,0,9,1,roll1,ROLL
2025-01-22,14:39,ARM,01-24,175,C,3.9,6.46,1.657,65.7,3,2,0,lotto,LOTTO
2025-01-22,14:48,ARM,01-24,185,C,3.2,2.4,0.75,-25,1,2,1,roll1,ROLL
2025-01-22,15:02,META,01-24,630,C,4.3,6.25,1.453,45.3,2,2,0,initial,
2025-01-22,15:15,AMZN,01-31,237.5,C,3.3,3.5,1.061,6.1,1,9,1,roll1,ROLL
2025-01-22,16:20,META,01-24,635,C,4.2,6.5,1.548,54.8,1,2,1,roll1,ROLL
2025-01-23,15:53,SPX,01-24,6100,C,10.4,18.85,1.813,81.3,2,1,0,lotto,LOTTO
2025-01-24,14:32,META,01-24,640,C,2.8,5.35,1.911,91.1,2,0,0,lotto,LOTTO
2025-01-24,14:33,SPX,01-24,6130,C,5.3,6.1,1.151,15.1,2,0,1,roll1,ROLL
2025-01-24,14:35,META,01-24,645,C,2.75,3.35,1.218,21.8,2,0,1,roll1,ROLL
2025-01-24,16:08,META,01-24,645,C,1.88,2.65,1.41,41,1,0,0,initial,
2025-01-24,16:49,META,01-24,650,C,1,3.8,3.8,280,1,0,1,roll1,ROLL
2025-01-27,14:57,QQQ,01-29,518,C,3.5,5.01,1.433,43.3,3,2,0,lotto,LOTTO
2025-01-28,14:57,AMZN,01-31,240,C,2.4,3.65,1.521,52.1,2,3,2,lotto,LOTTO
2025-01-28,16:08,AMZN,01-31,242.5,C,2.64,0,0,-100,0,3,3,roll3+,ROLL
2025-01-28,16:56,NVDA,01-31,125,C,2.32,3.73,1.606,60.6,3,3,2,roll2,
2025-01-28,17:19,NVDA,01-31,127,C,2.63,0,0,-100,0,3,3,roll3+,ROLL
2025-01-28,19:37,QQQ,01-30,525,C,2.94,0,0,-100,0,2,1,roll1,ROLL
2025-01-30,14:38,META,01-31,710,C,5.2,7.4,1.424,42.4,3,1,0,initial,
2025-01-30,14:49,SPX,01-30,6090,C,5.7,0,0,-100,0,0,0,lotto,LOTTO;0DTE
2025-01-30,16:39,META,01-31,700,C,3.8,4.35,1.145,14.5,2,1,1,roll1,ROLL
2025-01-30,17:52,TSLA,,410,C,4.4,6.08,1.381,38.1,3,,0,lotto,LOTTO
2025-01-31,14:37,TSLA,,410,C,3.4,7.5,2.206,120.6,2,,1,lotto,LOTTO
2025-01-31,14:44,META,,700,C,2.75,5.7,2.073,107.3,2,,0,lotto,LOTTO
2025-01-31,14:47,TSLA,,415,C,3.1,3.72,1.202,20.2,2,,2,roll2,ROLL
2025-01-31,14:52,META,,705,C,2.5,3.02,1.21,21,2,,1,roll1,ROLL
2025-01-31,15:02,TSLA,,420,C,2.5,0,0,-100,0,,3,roll3+,ROLL
2025-01-31,15:30,SPX,01-31,6120,C,5.8,6.65,1.147,14.7,2,0,0,lotto,LOTTO
2025-02-03,15:29,QQQ,02-07,520,C,4.4,6.07,1.38,38,2,4,0,lotto,LOTTO
2025-02-03,15:58,META,02-07,710,C,6.7,6.7,1,0,1,4,0,initial,
2025-02-03,19:07,NVDA,02-14,120,C,4.25,5.79,1.363,36.3,3,11,0,initial,
2025-02-04,14:39,NFLX,02-07,1050,C,5.5,6.5,1.182,18.2,2,3,0,initial,
2025-02-04,14:49,NFLX,02-07,1050,C,5.5,0,0,-100,0,3,1,roll1,
2025-02-04,14:53,QQQ,02-06,523,C,3.56,2.56,0.718,-28.2,1,2,1,roll1,ROLL
2025-02-04,16:28,SPX,02-04,6050,C,4.4,0,0,-100,0,0,0,lotto,LOTTO;0DTE
2025-02-05,14:35,META,02-07,715,C,6,8.34,1.39,39,3,2,0,initial,
2025-02-05,15:05,NVDA,02-14,125,C,3.65,5.15,1.411,41.1,2,9,1,roll1,ROLL
2025-02-05,15:29,META,02-07,720,C,5.2,5.5,1.058,5.8,1,2,1,roll1,ROLL
2025-02-05,16:49,QQQ,02-07,527,C,2.8,3.83,1.368,36.8,2,2,2,roll2,ROLL
2025-02-06,14:51,NFLX,02-07,1020,C,4.5,6,1.333,33.3,1,1,2,lotto,LOTTO
2025-02-06,15:15,QQQ,02-07,530,C,2.5,2.9,1.16,16,1,1,3,roll3+,ROLL
2025-02-06,16:41,NVDA,02-14,129,C,2.98,4.5,1.51,51,1,8,1,roll1,ROLL
2025-02-07,14:32,META,02-07,725,C,2.75,0,0,-100,0,0,2,lotto,LOTTO
2025-02-07,14:47,TSLA,02-07,380,C,2.5,2.75,1.1,10,2,0,4,lotto,LOTTO
2025-02-07,17:39,PLTR,,116,C,1.05,0,0,-100,0,,0,lotto,LOTTO;0DTE
2025-02-10,14:35,NVDA,02-14,133,C,2.44,3.56,1.46,46,3,4,0,initial,
2025-02-10,14:48,NVDA,02-14,136,C,2.29,2.32,1.013,1.3,1,4,1,roll1,ROLL
2025-02-10,15:05,QQQ,02-12,530,C,2.84,0,0,-100,0,2,0,lotto,LOTTO;CAT
2025-02-10,15:16,TSLA,02-14,370,C,4.9,4.94,1.008,0.8,2,4,0,initial,
2025-02-12,14:56,META,02-14,725,C,4.9,6.65,1.357,35.7,2,2,0,lotto,LOTTO
2025-02-12,15:24,TSLA,02-14,445,C,4.5,0,0,-100,0,2,1,lotto,LOTTO
2025-02-12,15:25,TSLA,02-14,445,C,4.5,0,0,-100,0,2,2,lotto,LOTTO
2025-02-12,18:15,TSLA,02-14,350,C,4.45,6.15,1.382,38.2,2,2,3,roll3+,ROLL
2025-02-12,20:11,META,02-14,730,C,4.45,5,1.124,12.4,1,2,1,roll1,ROLL
2025-02-13,14:35,QQQ,02-14,532,C,2.62,3.42,1.305,30.5,2,1,0,initial,
2025-02-13,14:44,COIN,02-14,310,C,4.9,0,0,-100,0,1,0,earnings_lotto,LOTTO;EARN
2025-02-13,14:50,TSLA,02-14,355,C,3.6,5.85,1.625,62.5,3,1,4,roll3+,ROLL
2025-02-13,15:23,TSLA,02-14,360,C,3.55,4.1,1.155,15.5,2,1,5,roll3+,ROLL
2025-02-13,19:16,SPX,02-14,6120,C,7.4,11.15,1.507,50.7,2,1,0,lotto,LOTTO
2025-02-14,14:31,SPX,02-14,6130,C,6.9,0,0,-100,0,0,1,lotto,LOTTO
2025-02-14,14:37,META,02-14,732.5,C,2.25,4.5,2,100,2,0,2,lotto,LOTTO
2025-02-14,16:06,META,02-14,737.5,C,1.61,2.1,1.304,30.4,2,0,3,roll3+,ROLL
2025-02-14,16:14,META,02-14,740,C,1.8,0,0,-100,0,0,4,roll3+,ROLL
2025-02-18,14:31,NVDA,02-21,144,C,1.74,0,0,-100,0,3,0,initial,
2025-02-19,14:47,TSLA,02-21,370,C,3.55,4.5,1.268,26.8,2,2,0,initial,
2025-02-19,16:15,QQQ,02-21,540,C,2.18,2.63,1.209,20.9,2,2,0,initial,
2025-02-19,17:11,TSLA,02-21,370,C,3.8,0,0,-100,0,2,0,initial,
2025-02-20,14:53,SPX,02-20,6090,P,6,10.75,1.792,79.2,3,0,0,put_breakdown,LOTTO
2025-02-20,15:17,QQQ,02-21,536,C,2.2,3,1.364,36.4,1,1,0,lotto,LOTTO
2025-02-24,14:59,SPX,02-24,5975,P,7.3,13.57,1.86,86,3,0,0,put_breakdown,LOTTO
2025-02-24,16:24,META,02-28,680,C,5.4,8.36,1.549,54.9,3,4,0,initial,
2025-02-24,17:19,QQQ,02-26,527,C,2.92,0,0,-100,0,2,0,initial,
2025-02-26,14:47,QQQ,02-26,516,C,2.6,2.64,1.014,1.4,2,0,1,lotto,LOTTO;0DTE
2025-02-26,15:21,META,02-28,690,C,4.4,0,0,-100,0,2,1,roll1,ROLL
2025-02-26,15:57,QQQ,02-27,520,C,3,0,0,-100,0,1,2,roll2,ROLL
2025-02-27,15:01,SPX,02-27,5880,P,9.4,9.2,0.979,-2.1,1,0,0,put_breakdown,LOTTO
2025-02-28,14:36,QQQ,02-28,500,C,2.8,4.38,1.566,56.6,3,0,0,lotto,LOTTO
2025-02-28,15:29,TSLA,02-28,295,C,2.8,0,0,-100,0,0,0,lotto,LOTTO
2025-02-28,15:56,QQQ,02-28,505,C,1.34,0,0,-100,0,0,1,roll1,ROLL
2025-03-03,15:07,SPX,03-03,5970,C,8.9,9.95,1.118,11.8,2,0,0,lotto,LOTTO
2025-03-03,16:51,TSLA,03-07,310,C,6.5,0,0,-100,0,4,0,initial,
2025-03-04,15:07,SPX,03-04,5700,P,8,9.95,1.244,24.4,2,0,0,put_breakdown,LOTTO
2025-03-04,17:17,SPX,03-04,5800,C,10.4,12.2,1.173,17.3,2,0,0,lotto,LOTTO
2025-03-04,18:10,QQQ,03-07,500,C,4.9,5.8,1.184,18.4,2,3,0,initial,
2025-03-04,20:07,META,03-07,660,C,5.6,7.65,1.366,36.6,2,3,0,initial,
2025-03-05,14:34,SPX,03-05,5850,C,8,14,1.75,75,3,0,0,lotto,LOTTO;0DTE
2025-03-05,17:23,QQQ,03-07,500,C,4.65,3.45,0.742,-25.8,1,2,0,initial,
2025-03-05,19:16,META,03-07,665,C,5.6,0,0,-100,0,2,1,roll1,ROLL
2025-03-06,14:37,SPX,03-06,5820,C,7.6,14.2,1.868,86.8,3,0,0,lotto,LOTTO;0DTE
2025-03-06,15:20,SPX,03-06,5850,C,6.9,5,0.725,-27.5,1,0,1,roll1,ROLL
2025-03-06,17:06,SPX,03-06,5700,P,8.4,10.3,1.226,22.6,2,0,2,put_breakdown,LOTTO
2025-03-06,18:21,SPX,03-06,5780,C,8.8,0,0,-100,0,0,3,lotto,LOTTO
2025-03-07,14:39,QQQ,03-07,490,C,2.8,3.58,1.279,27.9,3,0,1,lotto,LOTTO
2025-03-07,14:54,META,03-07,637.5,C,3.6,0,0,-100,0,0,2,lotto,LOTTO
2025-03-07,15:35,SPX,,5650,P,9.4,14.75,1.569,56.9,3,,0,put_breakdown,LOTTO
2025-03-07,17:00,SPX,,5750,C,7.6,13.9,1.829,82.9,3,,0,lotto,LOTTO
2025-03-07,18:04,QQQ,03-07,490,C,1.43,0.75,0.524,-47.6,1,0,2,lotto,LOTTO
2025-03-07,18:20,SPX,03-07,5800,C,5,4.6,0.92,-8,1,0,1,roll1,ROLL
2025-03-10,13:43,NFLX,,900,C,9.5,17.6,1.853,85.3,1,,0,lotto,LOTTO
2025-03-11,13:35,META,03-14,720,C,7.55,9.3,1.232,23.2,2,3,0,lotto,LOTTO
2025-03-11,14:09,QQQ,03-14,480,C,5.45,5.88,1.079,7.9,2,3,0,lotto,LOTTO
2025-03-11,15:27,NFLX,,920,C,8.4,14.5,1.726,72.6,2,,1,roll1,ROLL
2025-03-11,18:49,TSLA,03-14,245,C,5.6,9.5,1.696,69.6,1,3,0,lotto,LOTTO
2025-03-12,13:34,TSLA,03-14,255,C,5,0,0,-100,0,2,1,roll1,ROLL
2025-03-12,13:35,META,03-14,640,C,6.4,0,0,-100,0,2,0,initial,
2025-03-12,16:08,SPX,03-12,5640,C,6.2,7.2,1.161,16.1,2,0,0,lotto,LOTTO;0DTE
